TFT Id-Vg,OTFT Id-Vg
RecordTime,01/23/2019 21:58:44
Device ID,
Count,4
Flag,
Remarks,
Vgate,Vdrain,Idrain,IdrainPerWg,gm,gmPerWg
28,21,7.7269E-09,5.15126666666667E-11,3.157375E-09,2.10491666666667E-11
29,21,1.17359E-08,7.823933333333329E-11,4.7819000000000006E-09,3.1879333333333295E-11
30,21,1.7290700000000003E-08,1.15271333333333E-10,7.24345E-09,4.8289666666666696E-11
31,21,2.62228E-08,1.74818666666667E-10,9.7769E-09,6.51793333333333E-11
32,21,3.68445E-08,2.4563E-10,1.2590250000000001E-08,8.3934999999999992E-11
33,21,5.14033E-08,3.42688666666667E-10,1.669925E-08,1.1132833333333301E-10
34,21,7.0243E-08,4.6828666666666706E-10,2.1822800000000002E-08,1.45485333333333E-10
35,21,9.50489E-08,6.3365933333333312E-10,2.6732E-08,1.78213333333333E-10
36,21,1.2370699999999998E-07,8.2471333333333313E-10,3.186505E-08,2.1243366666666603E-10
37,21,1.58779E-07,1.05852666666667E-09,3.70535E-08,2.47023333333333E-10
38,21,1.97814E-07,1.3187600000000001E-09,4.3246E-08,2.8830666666666703E-10
39,21,2.45271E-07,1.6351400000000002E-09,5.0084E-08,3.3389333333333306E-10
40,21,2.97982E-07,1.98654666666667E-09,5.2710999999999995E-08,3.51406666666666E-10
-10,25,4.6767E-10,3.1178E-12,5.94000000000008E-12,3.96000000000008E-14
-9,25,4.7361000000000008E-10,3.1574E-12,-2.2084999999999997E-11,-1.47233333333333E-13
-8,25,4.2350000000000004E-10,2.8233333333333303E-12,-3.758E-11,-2.50533333333334E-13
-7,25,3.9845E-10,2.65633333333333E-12,-4.3189999999999995E-11,-2.8793333333333305E-13
-6,25,3.3712E-10,2.24746666666667E-12,-3.482E-11,-2.32133333333333E-13
-5,25,3.2881E-10,2.19206666666667E-12,-6.1599999999999794E-12,-4.10666666666665E-14
-4,25,3.2480000000000006E-10,2.1653333333333296E-12,-1.3055E-11,-8.70333333333333E-14
-3,25,3.027E-10,2.0179999999999997E-12,-4.008E-11,-2.672E-13
-2,25,2.4464000000000005E-10,1.63093333333333E-12,-4.5374999999999992E-11,-3.025E-13
-1,25,2.1195E-10,1.413E-12,1.56499999999998E-12,1.04333333333332E-14
0,25,2.4777E-10,1.6517999999999999E-12,1.7975E-11,1.19833333333334E-13
1,25,2.4790000000000004E-10,1.65266666666667E-12,-9.24499999999999E-12,-6.16333333333332E-14
2,25,2.2928000000000003E-10,1.52853333333333E-12,-1.7884999999999998E-11,-1.19233333333333E-13
3,25,2.1213000000000002E-10,1.4142E-12,-1.5754999999999998E-11,-1.05033333333333E-13
