TFT Id-Vd,OTFT Id-Vd,,,,,,,,0,2.80E-13,0,-8.90E-12,0,-1.98E-11,0,-3.22E-11,0,-5.79E-11,0,-1.38E-10,0,-4.98E-10,0,-1.83E-09,0,-2.91E-09,0,-2.41E-09,0,-2.33E-09
RecordTime,1/23/19 21:54,,,,,,,,1,9.70E-13,1,-5.20E-12,1,-1.37E-11,1,-2.58E-11,1,-4.58E-11,1,-1.02E-10,1,-3.29E-10,1,-1.06E-09,1,-1.30E-09,1,-9.85E-10,1,-6.61E-10
Device ID,,,,,,,,,2,1.42E-12,2,-3.05E-12,2,-1.05E-11,2,-2.18E-11,2,-3.71E-11,2,-7.69E-11,2,-2.17E-10,2,-6.38E-10,2,-6.15E-10,2,-2.49E-10,2,-1.41E-10
Count,106,,,,,,,,3,1.89E-12,3,-3.99E-12,3,-5.52E-12,3,-1.63E-11,3,-3.30E-11,3,-6.27E-11,3,-1.51E-10,3,-4.05E-10,3,-2.46E-10,3,-6.40E-11,3,-6.53E-11
Flag,,,,,,,,,4,5.84E-12,4,-3.25E-12,4,-2.30E-12,4,-7.96E-12,4,-2.75E-11,4,-4.89E-11,4,-1.11E-10,4,-2.67E-10,4,-6.05E-11,4,9.15E-10,4,4.76E-09
Remarks,,,,,,,,,5,9.75E-12,5,-9.60E-13,5,-1.91E-12,5,1.94E-11,5,-2.10E-11,5,-4.08E-11,5,-8.59E-11,5,-1.75E-10,5,4.80E-10,5,5.75E-09,5,1.37E-08
Vdrain,Vgate,Idrain,gds,Rds,,,,,6,1.28E-11,6,-3.00E-13,6,-9.80E-13,6,3.59E-11,6,-1.74E-11,6,-3.56E-11,6,-6.86E-11,6,-1.30E-10,6,3.48E-09,6,1.29E-08,6,2.43E-08
0,0,2.80E-13,6.90E-13,1.44928E+12,,,,,7,2.06E-11,7,-1.00E-12,7,1.16E-12,7,3.97E-11,7,2.16E-12,7,-2.93E-11,7,-5.46E-11,7,-9.64E-11,7,7.36E-09,7,1.96E-08,7,3.51E-08
1,0,9.70E-13,5.70E-13,1.75439E+12,,,,,8,3.08E-11,8,2.23E-12,8,1.23E-12,8,4.02E-11,8,4.52E-11,8,-2.30E-11,8,-4.80E-11,8,-6.14E-11,8,1.06E-08,8,2.61E-08,8,4.60E-08
2,0,1.42E-12,4.60E-13,2.17391E+12,,,,,9,4.05E-11,9,7.70E-12,9,1.80E-13,9,3.83E-11,9,7.74E-11,9,-1.19E-11,9,-4.09E-11,9,2.15E-10,9,1.38E-08,9,3.22E-08,9,5.63E-08
3,0,1.89E-12,2.21E-12,4.52489E+11,,,,,10,4.98E-11,10,1.18E-11,10,2.72E-12,10,3.92E-11,10,9.06E-11,10,7.50E-11,10,9.77E-12,10,1.21E-09,10,1.59E-08,10,3.82E-08,10,6.63E-08
4,0,5.84E-12,3.93E-12,2.54453E+11,,,,,11,5.97E-11,11,2.06E-11,11,3.08E-12,11,4.17E-11,11,8.88E-11,11,1.61E-10,11,2.35E-10,11,2.12E-09,11,1.82E-08,11,4.33E-08,11,7.74E-08
